update,timeToCoalescence,ID,accuracy_AVE,accuracy_LIST,alive,genomeLength,optimizeValue,sGained_AVE,sGained_LIST,sLost_AVE,sLost_LIST,score_AVE,score_LIST,timeOfBirth,totalBuilt_AVE,totalBuilt_LIST,totalFF_AVE,totalFF_LIST,totalGotHit_AVE,totalGotHit_LIST,totalHarvest_AVE,totalHarvest_LIST,totalShots_AVE,totalShots_LIST,totalStructFF_AVE,totalStructFF_LIST,totalStructGotHit_AVE,totalStructGotHit_LIST,totalStructHit_AVE,totalStructHit_LIST,totalSuccessfulShots_AVE,totalSuccessfulShots_LIST,totalSwitch_AVE,totalSwitch_LIST
1000,0,300333,0.000000,"[0.000000]",1,7508,131.261000,136.261000,"[136.261000]",10.000000,"[10.000000]",131.261000,"[131.261000]",1000,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",68.000000,"[68]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
1100,0,330365,0.000000,"[0.000000]",1,6947,115.281000,126.281000,"[126.281000]",22.000000,"[22.000000]",115.281000,"[115.281000]",1100,0.000000,"[0]",0.000000,"[0]",4.000000,"[4]",63.000000,"[63]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
1200,0,360377,0.000000,"[0.000000]",1,4252,155.255000,160.255000,"[160.255000]",10.000000,"[10.000000]",155.255000,"[155.255000]",1200,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",80.000000,"[80]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
1300,0,390345,0.000000,"[0.000000]",1,4325,145.243000,150.243000,"[150.243000]",10.000000,"[10.000000]",145.243000,"[145.243000]",1300,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",75.000000,"[75]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
1400,0,420329,0.000000,"[0.000000]",1,4786,159.248000,164.248000,"[164.248000]",10.000000,"[10.000000]",159.248000,"[159.248000]",1400,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",82.000000,"[82]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
1500,0,450303,0.000000,"[0.000000]",1,9066,123.274000,128.274000,"[128.274000]",10.000000,"[10.000000]",123.274000,"[123.274000]",1500,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",64.000000,"[64]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
1600,0,480311,0.000000,"[0.000000]",1,8757,311.440000,316.440000,"[316.440000]",10.000000,"[10.000000]",311.440000,"[311.440000]",1600,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",158.000000,"[158]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
1700,0,510315,0.000000,"[0.000000]",1,4837,101.630000,106.630000,"[106.630000]",10.000000,"[10.000000]",101.630000,"[101.630000]",1700,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",53.000000,"[53]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
1800,0,540319,0.000000,"[0.000000]",1,4694,247.384000,252.384000,"[252.384000]",10.000000,"[10.000000]",247.384000,"[247.384000]",1800,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",126.000000,"[126]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
1900,0,570325,0.000000,"[0.000000]",1,5060,319.472000,324.472000,"[324.472000]",10.000000,"[10.000000]",319.472000,"[319.472000]",1900,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",162.000000,"[162]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
