update,timeToCoalescence,ID,accuracy_AVE,accuracy_LIST,alive,cooperation_AVE,cooperation_LIST,genomeLength,optimizeValue,sGained_AVE,sGained_LIST,sLost_AVE,sLost_LIST,score_AVE,score_LIST,teamActivity_AVE,teamActivity_LIST,timeOfBirth,totalBuilt_AVE,totalBuilt_LIST,totalFF_AVE,totalFF_LIST,totalGotHit_AVE,totalGotHit_LIST,totalHarvest_AVE,totalHarvest_LIST,totalShots_AVE,totalShots_LIST,totalStructFF_AVE,totalStructFF_LIST,totalStructGotHit_AVE,totalStructGotHit_LIST,totalStructHit_AVE,totalStructHit_LIST,totalSuccessfulShots_AVE,totalSuccessfulShots_LIST,totalSwitch_AVE,totalSwitch_LIST
4100,0,1328727,83.333333,"[83.333333]",1,0.000000,"[0.000000]",18780,28.601600,30.000000,"[30.000000]",6.992000,"[6.992000]",28.601600,"[28.601600]",14.000000,"[14.000000]",4100,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",10.000000,"[10]",2.000000,"[2]"
4200,0,1361166,0.000000,"[0.000000]",1,2.000000,"[2.000000]",16578,97.634800,100.006000,"[100.006000]",16.856000,"[16.856000]",97.634800,"[97.634800]",2.000000,"[2.000000]",4200,10.000000,"[10]",0.000000,"[0]",4.000000,"[4]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",10.000000,"[10]",0.000000,"[0]",0.000000,"[0]",1.000000,"[1]"
4300,0,1393539,90.909091,"[90.909091]",1,2.000000,"[2.000000]",16538,30.033360,30.010000,"[30.010000]",4.883200,"[4.883200]",30.033360,"[30.033360]",4.000000,"[4.000000]",4300,1.000000,"[1]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",11.000000,"[11]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",10.000000,"[10]",1.000000,"[1]"
4400,0,1425939,50.000000,"[50.000000]",1,0.000000,"[0.000000]",15790,14.803940,18.002000,"[18.002000]",15.990300,"[15.990300]",14.803940,"[14.803940]",12.000000,"[12.000000]",4400,0.000000,"[0]",0.000000,"[0]",3.000000,"[3]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",6.000000,"[6]",2.000000,"[2]"
4500,0,1458357,25.000000,"[25.000000]",1,0.000000,"[0.000000]",15585,4.003240,9.003000,"[9.003000]",24.998800,"[24.998800]",4.003240,"[4.003240]",6.000000,"[6.000000]",4500,0.000000,"[0]",9.000000,"[9]",9.000000,"[9]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",3.000000,"[3]",2.000000,"[2]"
4600,0,1490730,25.000000,"[25.000000]",1,4.000000,"[4.000000]",14008,2.798840,3.002000,"[3.002000]",11.015800,"[11.015800]",2.798840,"[2.798840]",8.000000,"[8.000000]",4600,2.000000,"[2]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",4.000000,"[4]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",1.000000,"[1]",4.000000,"[4]"
4700,0,1523215,0.000000,"[0.000000]",1,6.000000,"[6.000000]",12863,1.195480,0.000000,"[0.000000]",9.022600,"[9.022600]",1.195480,"[1.195480]",13.000000,"[13.000000]",4700,6.000000,"[6]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",5.000000,"[5]",5.000000,"[5]",5.000000,"[5]",0.000000,"[0]",0.000000,"[0]",3.000000,"[3]"
4800,0,1555556,54.545455,"[54.545455]",1,2.000000,"[2.000000]",10507,11.197840,18.001000,"[18.001000]",39.015800,"[39.015800]",11.197840,"[11.197840]",15.000000,"[15.000000]",4800,1.000000,"[1]",0.000000,"[0]",10.000000,"[10]",0.000000,"[0]",11.000000,"[11]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",6.000000,"[6]",3.000000,"[3]"
4900,0,1588009,10.000000,"[10.000000]",1,2.000000,"[2.000000]",9123,16.996160,23.000000,"[23.000000]",35.019200,"[35.019200]",16.996160,"[16.996160]",6.000000,"[6.000000]",4900,2.000000,"[2]",0.000000,"[0]",8.000000,"[8]",0.000000,"[0]",10.000000,"[10]",0.000000,"[0]",2.000000,"[2]",0.000000,"[0]",1.000000,"[1]",4.000000,"[4]"
5000,0,1620402,90.909091,"[90.909091]",1,4.000000,"[4.000000]",11159,30.202960,30.000000,"[30.000000]",8.985200,"[8.985200]",30.202960,"[30.202960]",8.000000,"[8.000000]",5000,1.000000,"[1]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",11.000000,"[11]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",10.000000,"[10]",3.000000,"[3]"
